SampleID,exp_nr,Cultivar,rep,Soil_type,Functinoal_group,Select_FT,shoot_length_cm,root_length_cm,shoot_dry_weight_g,root_dry_weight_g,leaf_metabolite_richness,leaf_metabolite_evenness,leaf_metabolite_composition_axis1,root_exudate_richness_median,root_exudate_shannon_median,root_exudate_evenness_median,root_exudate_composition_axis1_medain,Bac_richness,Bac_shannon,Bac_simpson,Phylogenetic_diversity,Bac_evenness,Bac_axis1,Bac_axis2,Fun_richness,Fun_shannon,Fun_simpson,Fun_evenness,Fun_axis1,Fun_axis2
S21_16S,21,Wiebke,1,rhizo,b,no,15,6,0.464,0.05696378,83,0.911670385,0.028291767,33,3.200219329,0.915261664,0.151426873,1048,6.339390292,0.995557272,77.2896871,0.911534073,0.049283009,0.011331736,437,4.729026815,0.981568754,0.777809009,0.078629594,0.029212116
S22_16S,22,Astrid,1,rhizo,b,no,19,34,0.454,0.088111324,82,0.890615594,-0.023782204,22,2.768737718,0.895729437,0.084940835,860,6.13830614,0.995923495,69.51719653,0.908445695,0.089836113,-0.10598471,407,4.509408782,0.976537999,0.750465798,0.024236968,0.107971538
S23_16S,23,Rudawa,1,rhizo,d,d,12,35,0.573,0.138682075,82,0.906798331,0.01911622,15,2.184404557,0.806633701,-0.175943969,1008,6.239538611,0.996869907,75.9541044,0.902225003,-0.038741092,-0.008398628,406,4.136577558,0.930378413,0.688700356,-0.212676027,-0.11532087
S24_16S,24,Salto,1,rhizo,b,b,17.5,32,0.426,0.152462093,82,0.90547729,0.100545922,32,3.045218901,0.878664441,0.283751629,1246,6.523510738,0.995794165,89.7664022,0.915234438,0.033825195,0.128169212,432,4.346182615,0.962615071,0.71619608,0.053015691,-0.099820165
S25_16S,25,Atol,1,rhizo,c,c,14.5,20,0.435,0.061709129,80,0.909806474,0.048163958,26,2.882380574,0.884682372,0.107660355,1122,6.32628995,0.99504483,86.12903251,0.900812869,0.050711916,0.038581283,301,3.001788638,0.800098986,0.525973478,-0.081350844,0.213435233
S26_16S,26,Brda Stara,1,rhizo,d,d,21.5,8.5,0.245,0.026501002,79,0.928029131,-0.141632479,22,2.418482961,0.782416611,-0.178067436,953,6.18121217,0.991037481,77.45648154,0.901101921,0.11676509,0.035802371,427,4.276558111,0.951919837,0.706077367,-0.086290863,0.014177701
S27_16S,27,Kama,1,rhizo,b,b,18,36,0.595,0.111827957,84,0.919025596,0.041486009,32,3.143651692,0.907066141,0.278192321,765,6.006833968,0.9966568,63.91436238,0.904660587,0.110365087,-0.007715629,368,4.285678989,0.966972508,0.725392489,0.013150497,0.129770221
S28_16S,28,Pasja Pomorska,1,rhizo,a,a,15,22,0.534,0.087866099,83,0.9245686,-0.0953866,22,2.483076099,0.803313489,-0.124879351,1057,6.286365984,0.996313233,79.57203949,0.902799722,-0.066530773,0.024501549,438,4.648327265,0.978511687,0.764248596,0.096568016,-0.021682285
S29_16S,29,Cariboo,1,rhizo,d,no,15.5,30.5,0.349,0.123708191,81,0.919401101,0.070013169,22,2.444669795,0.790888457,-0.172040951,,,,,,,,389,4.472408382,0.971682025,0.749953698,0.095918521,-0.035213386
S3_16S,3,Herbstfreude,1,rhizo,c,no,14.5,20,0.358,0.037162992,79,0.899791409,0.117410641,27,2.847585011,0.863994526,0.18367484,1185,6.357984244,0.996757388,87.80165446,0.89833783,0.001432078,0.057173347,407,4.641029029,0.978143691,0.772370331,0.083767739,0.002722425
